Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Helsingborg A;62040;2.0

Parameternamn;Beskrivning;Enhet
Nederbörd;1 gång/dygn, kl 18;code

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1995-10-01 00:00:00;2010-07-31 23:59:59;43.0;56.0304;12.7653

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbörd;Kvalitet;;Tidsutsnitt:
1995-10-24 18:00:01;1995-10-25 18:00:00;1995-10-25;regn;G;;Kvalitetskontrollerade historiska data (utom de senaste 3 mån)
1995-10-26 18:00:01;1995-10-27 18:00:00;1995-10-27;duggregn;G;;Tidsperiod (fr.o.m.) = 1995-10-01 00:00:00 (UTC)
1995-10-26 18:00:01;1995-10-27 18:00:00;1995-10-27;regnskurar;G;;Tidsperiod (t.o.m.) = 2010-07-31 23:59:59 (UTC)
1995-10-26 18:00:01;1995-10-27 18:00:00;1995-10-27;regn;G;;Samplingstid = 24 timmar
1995-10-27 18:00:01;1995-10-28 18:00:00;1995-10-28;Obestämd nederbördstyp;G;;
1995-10-30 18:00:01;1995-10-31 18:00:00;1995-10-31;regn;G;;Kvalitetskoderna:
1995-10-30 18:00:01;1995-10-31 18:00:00;1995-10-31;duggregn;G;;Grön (G) = Kontrollerade och godkända värden.
1995-10-31 18:00:01;1995-11-01 18:00:00;1995-11-01;regn;G;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
1995-11-01 18:00:01;1995-11-02 18:00:00;1995-11-02;duggregn;G;;
1995-11-01 18:00:01;1995-11-02 18:00:00;1995-11-02;regnskurar;G;;Orsaker till saknade data:
1995-11-01 18:00:01;1995-11-02 18:00:00;1995-11-02;regn;G;;  stationen eller givaren har varit ur funktion.
1995-11-02 18:00:01;1995-11-03 18:00:00;1995-11-03;Obestämd nederbördstyp;G
1995-11-02 18:00:01;1995-11-03 18:00:00;1995-11-03;regn;G
1995-11-02 18:00:01;1995-11-03 18:00:00;1995-11-03;snöbyar;G
1995-11-02 18:00:01;1995-11-03 18:00:00;1995-11-03;snowfall;G
1995-11-05 18:00:01;1995-11-06 18:00:00;1995-11-06;duggregn;G
1995-11-05 18:00:01;1995-11-06 18:00:00;1995-11-06;snowfall;G
1995-11-05 18:00:01;1995-11-06 18:00:00;1995-11-06;regnskurar;G
1995-11-06 18:00:01;1995-11-07 18:00:00;1995-11-07;regn;G
1995-11-06 18:00:01;1995-11-07 18:00:00;1995-11-07;regnskurar;G
1995-11-08 18:00:01;1995-11-09 18:00:00;1995-11-09;regnskurar;G
1995-11-08 18:00:01;1995-11-09 18:00:00;1995-11-09;duggregn;G
1995-11-08 18:00:01;1995-11-09 18:00:00;1995-11-09;Obestämd nederbördstyp;G
1995-11-09 18:00:01;1995-11-10 18:00:00;1995-11-10;Obestämd nederbördstyp;G
1995-11-09 18:00:01;1995-11-10 18:00:00;1995-11-10;regnskurar;G
